created_at,Pi1_CO2,Pi1_CH4,Pi1_NH3,Pi2_CO2,Pi2_CH4,Pi2_NH3
2025-11-20 12:06:42+00:00,0,0,0,2006.99,68.96,205.87
2025-11-20 12:07:43+00:00,0,0,0,1962.18,67.09,200.27
2025-11-20 12:08:43+00:00,0,0,0,2026.04,69.75,208.25
2025-11-20 12:09:43+00:00,0,0,0,1980.54,67.86,202.57
2025-11-20 12:10:43+00:00,0,0,0,2054.0,70.92,211.75
2025-11-20 12:11:44+00:00,0,0,0,2008.77,69.03,206.1
2025-11-20 12:12:44+00:00,0,0,0,2005.82,68.91,205.73
2025-11-20 12:13:44+00:00,0,0,0,1985.01,68.04,203.13
2025-11-20 12:14:45+00:00,0,0,0,1969.18,67.38,201.15
2025-11-20 12:15:45+00:00,0,0,0,1970.78,67.45,201.35
2025-11-20 12:16:46+00:00,0,0,0,1952.92,66.7,199.11
2025-11-20 12:17:46+00:00,0,0,0,1946.18,66.42,198.27
2025-11-20 12:18:46+00:00,0,0,0,1957.3,66.89,199.66
2025-11-20 12:19:46+00:00,0,0,0,1959.92,67.0,199.99
2025-11-20 12:20:47+00:00,0,0,0,1947.45,66.48,198.43
2025-11-20 12:21:47+00:00,0,0,0,1942.13,66.26,197.77
2025-11-20 12:22:47+00:00,0,0,0,1916.03,65.17,194.5
2025-11-20 12:23:48+00:00,0,0,0,1944.24,66.34,198.03
2025-11-20 12:24:48+00:00,0,0,0,1958.06,66.92,199.76
2025-11-20 12:25:48+00:00,0,0,0,1964.88,67.2,200.61
2025-11-20 12:26:49+00:00,0,0,0,1968.84,67.37,201.11
2025-11-20 12:27:49+00:00,0,0,0,1945.84,66.41,198.23
2025-11-20 12:28:49+00:00,0,0,0,1935.99,66.0,197.0
2025-11-20 12:29:50+00:00,0,0,0,1948.46,66.52,198.56
2025-11-20 12:30:50+00:00,0,0,0,1956.21,66.84,199.53
2025-11-20 12:31:50+00:00,0,0,0,1988.46,68.19,203.56
2025-11-20 12:32:50+00:00,0,0,0,1983.5,67.98,202.94
2025-11-20 12:33:51+00:00,0,0,0,1990.66,68.28,203.83
2025-11-20 12:34:51+00:00,0,0,0,1996.38,68.52,204.55
2025-11-20 12:35:51+00:00,0,0,0,2000.51,68.69,205.06
2025-11-20 12:36:52+00:00,0,0,0,1987.79,68.16,203.47
2025-11-20 12:37:52+00:00,0,0,0,1992.68,68.36,204.08
2025-11-20 12:38:53+00:00,0,0,0,1985.85,68.08,203.23
2025-11-20 12:39:53+00:00,0,0,0,1982.4,67.93,202.8
2025-11-20 12:40:53+00:00,0,0,0,1987.2,68.13,203.4
2025-11-20 12:41:54+00:00,0,0,0,1949.97,66.58,198.75
2025-11-20 12:42:54+00:00,0,0,0,1999.67,68.65,204.96
2025-11-20 12:43:54+00:00,0,0,0,1969.1,67.38,201.14
2025-11-20 12:44:55+00:00,0,0,0,1937.58,66.07,197.2
2025-11-20 12:45:55+00:00,0,0,0,1961.76,67.07,200.22
2025-11-20 12:46:55+00:00,0,0,0,1983.58,67.98,202.95
2025-11-20 12:47:55+00:00,0,0,0,1997.22,68.55,204.65
2025-11-20 12:48:56+00:00,0,0,0,1977.86,67.74,202.23
2025-11-20 12:49:56+00:00,0,0,0,2029.98,69.92,208.75
2025-11-20 12:50:56+00:00,0,0,0,2003.2,68.8,205.4
2025-11-20 12:51:57+00:00,0,0,0,2010.7,69.11,206.34
2025-11-20 12:52:57+00:00,0,0,0,1980.88,67.87,202.61
2025-11-20 12:53:57+00:00,0,0,0,2000.43,68.68,205.05
2025-11-20 12:54:58+00:00,0,0,0,2014.16,69.26,206.77
2025-11-20 12:55:58+00:00,0,0,0,1998.82,68.62,204.85
2025-11-20 12:56:58+00:00,0,0,0,1992.51,68.35,204.06
2025-11-20 12:57:59+00:00,0,0,0,1995.04,68.46,204.38
2025-11-20 12:58:59+00:00,0,0,0,1994.78,68.45,204.35
2025-11-20 12:59:59+00:00,0,0,0,1993.68,68.4,204.21
2025-11-20 13:00:59+00:00,0,0,0,2000.34,68.68,205.04
2025-11-20 13:02:00+00:00,0,0,0,1978.19,67.76,202.27
2025-11-20 13:03:00+00:00,0,0,0,1993.35,68.39,204.17
2025-11-20 13:04:00+00:00,0,0,0,1998.65,68.61,204.83
2025-11-20 13:05:01+00:00,0,0,0,1996.38,68.52,204.55
2025-11-20 13:06:01+00:00,0,0,0,1991.08,68.3,203.89
2025-11-20 13:07:01+00:00,0,0,0,1985.43,68.06,203.18
2025-11-20 13:08:02+00:00,0,0,0,1987.2,68.13,203.4
2025-11-20 13:09:02+00:00,0,0,0,1991.92,68.33,203.99
2025-11-20 13:10:02+00:00,0,0,0,1990.48,68.27,203.81
2025-11-20 13:11:02+00:00,0,0,0,1926.56,65.61,195.82
2025-11-20 13:12:03+00:00,0,0,0,2001.02,68.71,205.13
2025-11-20 13:13:03+00:00,0,0,0,1978.02,67.75,202.25
2025-11-20 13:14:03+00:00,0,0,0,1960.34,67.01,200.04
2025-11-20 13:15:04+00:00,0,0,0,1970.02,67.42,201.25
2025-11-20 13:16:04+00:00,0,0,0,1977.09,67.71,202.14
2025-11-20 13:17:05+00:00,0,0,0,2032.26,70.01,209.03
2025-11-20 13:18:05+00:00,0,0,0,2038.74,70.28,209.84
2025-11-20 13:19:05+00:00,0,0,0,1988.38,68.18,203.55
2025-11-20 13:20:06+00:00,0,0,0,2019.12,69.46,207.39
2025-11-20 13:21:06+00:00,0,0,0,2049.87,70.74,211.23
2025-11-20 13:22:06+00:00,0,0,0,2023.76,69.66,207.97
2025-11-20 13:23:06+00:00,0,0,0,2012.98,69.21,206.62
2025-11-20 13:24:07+00:00,0,0,0,2025.27,69.72,208.16
2025-11-20 13:25:07+00:00,0,0,0,2014.58,69.27,206.82
2025-11-20 13:26:07+00:00,0,0,0,1955.7,66.82,199.46
2025-11-20 13:27:08+00:00,0,0,0,2022.83,69.62,207.85
2025-11-20 13:28:08+00:00,0,0,0,1993.18,68.38,204.15
2025-11-20 13:29:08+00:00,0,0,0,2019.12,69.46,207.39
2025-11-20 13:30:09+00:00,0,0,0,2013.32,69.22,206.66
2025-11-20 13:31:09+00:00,0,0,0,2007.92,69.0,205.99
2025-11-20 13:32:09+00:00,0,0,0,2007.75,68.99,205.97
2025-11-20 13:33:09+00:00,0,0,0,2012.21,69.18,206.53
2025-11-20 13:34:10+00:00,0,0,0,2008.17,69.01,206.02
2025-11-20 13:35:10+00:00,0,0,0,1995.46,68.48,204.43
2025-11-20 13:36:10+00:00,0,0,0,2006.49,68.94,205.81
2025-11-20 13:37:11+00:00,0,0,0,2008.26,69.01,206.03
2025-11-20 13:38:11+00:00,0,0,0,2001.35,68.72,205.17
2025-11-20 13:39:11+00:00,0,0,0,1985.18,68.05,203.15
2025-11-20 13:40:12+00:00,0,0,0,1999.67,68.65,204.96
2025-11-20 13:41:12+00:00,0,0,0,1987.96,68.17,203.49
2025-11-20 13:42:12+00:00,0,0,0,1978.19,67.76,202.27
2025-11-20 13:43:13+00:00,0,0,0,1966.23,67.26,200.78
2025-11-20 13:44:13+00:00,0,0,0,1957.8,66.91,199.73
2025-11-20 13:45:13+00:00,0,0,0,1872.57,63.36,189.07
2025-11-20 13:46:13+00:00,0,0,0,1964.55,67.19,200.57
2025-11-20 13:47:14+00:00,0,0,0,1987.04,68.13,203.38
2025-11-20 13:48:14+00:00,0,0,0,1946.6,66.44,198.32
2025-11-20 13:49:14+00:00,0,0,0,2013.15,69.21,206.64
2025-11-20 13:50:15+00:00,0,0,0,2009.44,69.06,206.18
2025-11-20 13:51:15+00:00,0,0,0,1922.18,65.42,195.27
2025-11-20 13:52:15+00:00,0,0,0,1990.74,68.28,203.84
2025-11-20 13:53:16+00:00,0,0,0,2018.54,69.44,207.32
2025-11-20 13:54:16+00:00,0,0,0,1979.45,67.81,202.43
2025-11-20 13:55:16+00:00,0,0,0,2009.36,69.06,206.17
2025-11-20 13:56:16+00:00,0,0,0,2008.35,69.01,206.04
2025-11-20 13:57:17+00:00,0,0,0,2024.76,69.7,208.1
2025-11-20 13:58:17+00:00,0,0,0,2005.98,68.92,205.75
2025-11-20 13:59:18+00:00,0,0,0,1979.03,67.79,202.38
2025-11-20 14:00:18+00:00,0,0,0,1986.62,68.11,203.33
2025-11-20 14:01:18+00:00,0,0,0,2014.66,69.28,206.83
2025-11-20 14:02:19+00:00,0,0,0,1980.8,67.87,202.6
2025-11-20 14:03:19+00:00,0,0,0,2018.45,69.44,207.31
2025-11-20 14:04:19+00:00,0,0,0,1904.57,64.69,193.07
2025-11-20 14:05:20+00:00,0,0,0,1974.99,67.62,201.87
2025-11-20 14:06:20+00:00,0,0,0,2005.4,68.89,205.67
2025-11-20 14:07:20+00:00,0,0,0,2023.42,69.64,207.93
2025-11-20 14:08:20+00:00,0,0,0,2046.08,70.59,210.76
2025-11-20 14:09:21+00:00,0,0,0,2010.28,69.1,206.28
2025-11-20 14:10:21+00:00,0,0,0,2009.19,69.05,206.15
2025-11-20 14:11:21+00:00,0,0,0,1932.11,65.84,196.51
2025-11-20 14:12:22+00:00,0,0,0,2042.7,70.45,210.34
2025-11-20 14:13:22+00:00,0,0,0,2030.84,69.95,208.85
2025-11-20 14:14:22+00:00,0,0,0,2014.66,69.28,206.83
2025-11-20 14:15:23+00:00,0,0,0,2009.36,69.06,206.17
2025-11-20 14:16:23+00:00,0,0,0,2023.17,69.63,207.9
2025-11-20 14:17:24+00:00,0,0,0,2004.64,68.86,205.58
2025-11-20 14:18:24+00:00,0,0,0,2029.98,69.92,208.75
2025-11-20 14:19:24+00:00,0,0,0,2034.03,70.08,209.25
2025-11-20 14:20:24+00:00,0,0,0,2029.06,69.88,208.63
2025-11-20 14:21:25+00:00,0,0,0,1917.63,65.23,194.7
2025-11-20 14:22:25+00:00,0,0,0,1994.69,68.45,204.34
2025-11-20 14:23:25+00:00,0,0,0,2010.36,69.1,206.3
2025-11-20 14:24:26+00:00,0,0,0,2011.37,69.14,206.42
2025-11-20 14:25:26+00:00,0,0,0,2049.11,70.71,211.14
2025-11-20 14:26:26+00:00,0,0,0,1986.45,68.1,203.31
2025-11-20 14:27:27+00:00,0,0,0,1994.44,68.44,204.31
2025-11-20 14:28:28+00:00,0,0,0,2024.76,69.7,208.1
2025-11-20 14:29:28+00:00,0,0,0,2005.98,68.92,205.75
2025-11-20 14:30:28+00:00,0,0,0,2043.72,70.49,210.47
2025-11-20 14:31:29+00:00,0,0,0,2018.96,69.46,207.37
2025-11-20 14:32:29+00:00,0,0,0,2029.48,69.9,208.69
2025-11-20 14:33:29+00:00,0,0,0,2012.46,69.19,206.56
2025-11-20 14:34:29+00:00,0,0,0,2016.09,69.34,207.01
2025-11-20 14:35:30+00:00,0,0,0,2014.32,69.26,206.79
2025-11-20 14:36:30+00:00,0,0,0,1970.02,67.42,201.25
2025-11-20 14:37:31+00:00,0,0,0,2018.54,69.44,207.32
2025-11-20 14:38:31+00:00,0,0,0,2022.75,69.61,207.84
2025-11-20 14:39:33+00:00,0,0,0,2030.42,69.93,208.8
2025-11-20 14:40:33+00:00,0,0,0,2022.92,69.62,207.86
2025-11-20 14:41:34+00:00,0,0,0,2037.99,70.25,209.75
2025-11-20 14:42:34+00:00,0,0,0,2012.21,69.18,206.53
2025-11-20 14:43:35+00:00,0,0,0,2020.05,69.5,207.51
2025-11-20 14:44:35+00:00,0,0,0,2011.96,69.17,206.49
2025-11-20 14:45:36+00:00,0,0,0,2008.08,69.0,206.01
2025-11-20 14:46:36+00:00,0,0,0,2010.78,69.12,206.35
